SN: 20240004,,,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle,,
165999,1721635321, 2024/7/22 8:2:1,71.63,23.42,290.44,1918.13,3662.11,0,23.17,0,82,1,,
168000,1721635323, 2024/7/22 8:2:3,71.57,23.46,291.19,1918.69,3666.99,0,23.17,0,83,1,,
170000,1721635325, 2024/7/22 8:2:5,71.5,23.47,291.75,1919.44,3666.99,0,23.17,0,84,1,,
171999,1721635327, 2024/7/22 8:2:7,71.4,23.48,292.5,1920.19,3676.76,0,23.17,0,85,1,,
173999,1721635329, 2024/7/22 8:2:9,71.27,23.5,293.06,1921.13,3676.76,0,23.17,0,86,1,,
176000,1721635331, 2024/7/22 8:2:11,71.13,23.52,293.81,1921.88,3681.64,0,23.17,0,87,1,,
177998,1721635333, 2024/7/22 8:2:13,70.99,23.55,293.81,1922.06,3779.3,0,23.17,0,88,1,,
179999,1721635335, 2024/7/22 8:2:15,70.9,23.56,294.38,1922.63,3779.3,0,23.17,0,89,1,,
181999,1721635337, 2024/7/22 8:2:17,70.84,23.57,294.94,1923.19,3774.41,0,23.17,0,90,1,,
183999,1721635339, 2024/7/22 8:2:19,70.81,23.61,295.69,1923.94,3779.3,69.54,23.17,450,91,1,,
185999,1721635341, 2024/7/22 8:2:21,71,23.61,296.25,1924.5,3784.18,69.54,23.17,450,92,1,,
187999,1721635343, 2024/7/22 8:2:23,71.15,23.62,296.63,1925.06,3774.41,69.54,23.17,450,93,1,,
189999,1721635345, 2024/7/22 8:2:25,71.27,23.64,297.19,1925.63,3784.18,69.54,23.17,450,94,1,,
191998,1721635347, 2024/7/22 8:2:27,71.33,23.66,297.56,1926.38,3779.3,69.54,23.17,450,95,1,,
193999,1721635349, 2024/7/22 8:2:29,71.25,23.69,298.13,1927.13,3784.18,69.54,23.17,450,96,1,,
196000,1721635351, 2024/7/22 8:2:31,71.06,23.7,298.5,1927.69,3784.18,69.54,23.17,450,97,1,,
197999,1721635353, 2024/7/22 8:2:33,70.86,23.71,299.06,1928.25,3784.18,69.54,23.17,450,98,1,,
199999,1721635355, 2024/7/22 8:2:35,70.66,23.73,299.63,1929,3779.3,69.54,23.17,450,99,1,,
201999,1721635357, 2024/7/22 8:2:37,70.6,23.74,300.19,1929.56,3779.3,69.54,23.17,450,100,1,,
203999,1721635359, 2024/7/22 8:2:39,70.55,23.75,300.56,1930.13,3779.3,69.54,23.17,450,101,1,,
205999,1721635361, 2024/7/22 8:2:41,70.53,23.76,301.13,1930.88,3779.3,69.54,23.17,450,102,1,,
208000,1721635363, 2024/7/22 8:2:43,70.49,23.8,301.5,1931.44,3784.18,69.54,23.17,450,103,1,,
209999,1721635365, 2024/7/22 8:2:45,70.43,23.81,302.06,1932.19,3779.3,69.54,23.17,450,104,1,,
211999,1721635367, 2024/7/22 8:2:47,70.34,23.85,302.63,1932.56,3779.3,69.54,23.17,450,105,1,,
214000,1721635369, 2024/7/22 8:2:49,70.25,23.86,303,1933.31,3784.18,69.54,23.17,450,106,1,,
215999,1721635371, 2024/7/22 8:2:51,70.16,23.87,303.38,1933.88,3779.3,69.54,23.17,450,107,1,,
218000,1721635373, 2024/7/22 8:2:53,70.1,23.87,303.94,1934.44,3779.3,69.54,23.17,450,108,1,,
219999,1721635375, 2024/7/22 8:2:55,70.04,23.91,304.31,1935.19,3779.3,69.54,23.17,450,109,1,,
221999,1721635377, 2024/7/22 8:2:57,70.01,23.92,304.69,1935.56,3784.18,69.54,23.17,450,110,1,,
223998,1721635379, 2024/7/22 8:2:59,69.96,23.92,305.25,1936.13,3779.3,69.54,23.17,450,111,1,,
225998,1721635381, 2024/7/22 8:3:1,69.91,23.96,305.63,1936.69,3779.3,69.54,23.17,450,112,1,,
227999,1721635383, 2024/7/22 8:3:3,69.82,23.99,306,1937.44,3779.3,69.54,23.17,450,113,1,,
229999,1721635385, 2024/7/22 8:3:5,69.77,23.99,306.38,1937.81,3779.3,69.54,23.17,450,114,1,,
231999,1721635387, 2024/7/22 8:3:7,69.74,24.01,306.94,1938.38,3779.3,69.54,23.17,450,115,1,,
233999,1721635389, 2024/7/22 8:3:9,69.7,24.03,307.31,1938.94,3779.3,69.54,23.17,450,116,1,,
236000,1721635391, 2024/7/22 8:3:11,69.65,24.04,307.69,1939.31,3784.18,69.54,23.17,450,117,1,,
238000,1721635393, 2024/7/22 8:3:13,69.61,24.07,308.06,1940.06,3779.3,69.54,23.17,450,118,1,,
239998,1721635395, 2024/7/22 8:3:15,69.59,24.1,308.44,1940.25,3779.3,69.54,23.17,450,119,1,,
241999,1721635397, 2024/7/22 8:3:17,69.52,24.12,308.81,1941,3779.3,69.54,23.17,450,120,1,,
243999,1721635399, 2024/7/22 8:3:19,69.51,24.14,309.19,1941.38,3779.3,69.54,23.17,450,121,1,,
245999,1721635401, 2024/7/22 8:3:21,69.47,24.15,309.56,1941.75,3784.18,69.54,23.17,450,122,1,,
247999,1721635403, 2024/7/22 8:3:23,69.44,24.15,309.94,1942.31,3774.41,69.54,23.17,450,123,1,,
249999,1721635405, 2024/7/22 8:3:25,69.39,24.17,310.31,1942.69,3779.3,69.54,23.17,450,124,1,,
251999,1721635407, 2024/7/22 8:3:27,69.35,24.21,310.5,1943.25,3784.18,69.54,23.17,450,125,1,,
253999,1721635409, 2024/7/22 8:3:29,69.3,24.21,310.88,1943.63,3779.3,69.54,23.17,450,126,1,,
255998,1721635411, 2024/7/22 8:3:31,69.24,24.23,311.25,1944.19,3784.18,69.54,23.17,450,127,1,,
257999,1721635413, 2024/7/22 8:3:33,69.21,24.26,311.63,1944.56,3784.18,69.54,23.17,450,128,1,,
259999,1721635415, 2024/7/22 8:3:35,69.21,24.28,311.81,1945.13,3784.18,69.54,23.17,450,129,1,,
261999,1721635417, 2024/7/22 8:3:37,69.17,24.28,312.19,1945.69,3779.3,69.54,23.17,450,130,1,,
263999,1721635419, 2024/7/22 8:3:39,69.18,24.29,312.38,1946.06,3779.3,69.54,23.17,450,131,1,,
265999,1721635421, 2024/7/22 8:3:41,69.12,24.35,312.75,1946.63,3779.3,69.54,23.17,450,132,1,,
268000,1721635423, 2024/7/22 8:3:43,69.13,24.38,313.13,1947,3779.3,69.54,23.17,450,133,1,,
269999,1721635425, 2024/7/22 8:3:45,69.08,24.35,313.31,1947.38,3779.3,69.54,23.17,450,134,1,,
271998,1721635427, 2024/7/22 8:3:47,69.06,24.39,313.5,1947.94,3784.18,69.54,23.17,450,135,1,,
273998,1721635429, 2024/7/22 8:3:49,69.06,24.43,313.88,1948.31,3784.18,69.54,23.17,450,136,1,,
275999,1721635431, 2024/7/22 8:3:51,68.95,24.43,314.06,1948.88,3784.18,69.54,23.17,450,137,1,,
277999,1721635433, 2024/7/22 8:3:53,68.87,24.45,314.44,1949.25,3779.3,69.54,23.17,450,138,1,,
279999,1721635435, 2024/7/22 8:3:55,68.84,24.47,314.63,1949.63,3779.3,69.54,23.17,450,139,1,,
282000,1721635437, 2024/7/22 8:3:57,68.75,24.5,315,1950.19,3779.3,69.54,23.17,450,140,1,,
283999,1721635439, 2024/7/22 8:3:59,68.75,24.52,315.19,1950.75,3779.3,69.54,23.17,450,141,1,,
286000,1721635441, 2024/7/22 8:4:1,68.68,24.52,315.56,1951.13,3784.18,69.54,23.17,450,142,1,,
287998,1721635443, 2024/7/22 8:4:3,68.63,24.55,315.75,1951.5,3779.3,69.54,23.17,450,143,1,,
289999,1721635445, 2024/7/22 8:4:5,68.56,24.56,315.94,1952.06,3779.3,69.54,23.17,450,144,1,,
291998,1721635447, 2024/7/22 8:4:7,68.46,24.56,316.31,1952.44,3784.18,69.54,23.17,450,145,1,,
293999,1721635449, 2024/7/22 8:4:9,68.39,24.59,316.5,1953,3779.3,69.54,23.17,450,146,1,,
295999,1721635451, 2024/7/22 8:4:11,68.28,24.62,316.88,1953.38,3784.18,69.54,23.17,450,147,1,,
297999,1721635453, 2024/7/22 8:4:13,68.15,24.64,317.06,1953.75,3779.3,69.54,23.17,450,148,1,,
299999,1721635455, 2024/7/22 8:4:15,67.97,24.66,317.44,1954.31,3784.18,69.54,23.17,450,149,1,,
301999,1721635457, 2024/7/22 8:4:17,67.96,24.68,317.44,1954.69,3779.3,69.54,23.17,450,150,1,,
304000,1721635459, 2024/7/22 8:4:19,67.9,24.7,317.63,1955.25,3784.18,69.54,23.17,450,151,1,,
305999,1721635461, 2024/7/22 8:4:21,67.86,24.7,317.81,1955.63,3784.18,69.54,23.17,450,152,1,,
307998,1721635463, 2024/7/22 8:4:23,67.81,24.73,318,1956,3779.3,69.54,23.17,450,153,1,,
309999,1721635465, 2024/7/22 8:4:25,67.79,24.74,318.19,1956.19,3784.18,69.54,23.17,450,154,1,,
311999,1721635467, 2024/7/22 8:4:27,67.8,24.75,318.56,1956.75,3779.3,69.54,23.17,450,155,1,,
313999,1721635469, 2024/7/22 8:4:29,67.74,24.79,318.75,1957.31,3784.18,69.54,23.17,450,156,1,,
315999,1721635471, 2024/7/22 8:4:31,67.67,24.81,318.94,1957.69,3779.3,69.54,23.17,450,157,1,,
317999,1721635473, 2024/7/22 8:4:33,67.65,24.8,319.13,1958.25,3784.18,69.54,23.17,450,158,1,,
319998,1721635475, 2024/7/22 8:4:35,67.55,24.84,319.5,1958.63,3774.41,69.54,23.17,450,159,1,,
321999,1721635477, 2024/7/22 8:4:37,67.44,24.86,319.69,1959,3779.3,69.54,23.17,450,160,1,,
323999,1721635479, 2024/7/22 8:4:39,67.42,24.87,319.69,1959.56,3774.41,69.54,23.17,450,161,1,,
325999,1721635481, 2024/7/22 8:4:41,67.29,24.89,319.88,1959.75,3779.3,69.54,23.17,450,162,1,,
327999,1721635483, 2024/7/22 8:4:43,67.19,24.91,320.06,1960.13,3779.3,69.54,23.17,450,163,1,,
329999,1721635485, 2024/7/22 8:4:45,66.99,24.91,320.06,1960.69,3779.3,69.54,23.17,450,164,1,,
331999,1721635487, 2024/7/22 8:4:47,66.86,24.92,320.25,1960.88,3779.3,69.54,23.17,450,165,1,,
334000,1721635489, 2024/7/22 8:4:49,66.73,24.93,320.44,1961.25,3779.3,69.54,23.17,450,166,1,,
335998,1721635491, 2024/7/22 8:4:51,66.63,24.96,320.81,1961.63,3779.3,69.54,23.17,450,167,1,,
337999,1721635494, 2024/7/22 8:4:54,66.6,24.96,320.81,1962,3784.18,69.54,23.17,450,168,1,,
340000,1721635496, 2024/7/22 8:4:56,66.53,24.99,321,1962.38,3784.18,69.54,23.17,450,169,1,,
341999,1721635498, 2024/7/22 8:4:58,66.5,25.04,321.19,1962.75,3779.3,69.54,23.17,450,170,1,,
343999,1721635500, 2024/7/22 8:5:0,66.42,25.05,321.94,1963.69,3759.77,69.54,24.67,450,171,1,,
346000,1721635502, 2024/7/22 8:5:2,66.38,25.05,321.94,1963.88,3666.99,69.54,24.67,450,172,1,,
347999,1721635504, 2024/7/22 8:5:4,66.37,25.06,322.13,1964.44,3666.99,69.54,24.67,450,173,1,,
350000,1721635506, 2024/7/22 8:5:6,66.38,25.07,322.31,1964.63,3666.99,69.54,24.67,450,174,1,,
351998,1721635508, 2024/7/22 8:5:8,66.35,25.11,322.5,1965.19,3671.87,69.54,24.67,450,175,1,,
353999,1721635510, 2024/7/22 8:5:10,66.29,25.1,322.69,1965.56,3676.76,69.54,24.67,450,176,1,,
355999,1721635512, 2024/7/22 8:5:12,66.29,25.14,322.88,1965.94,3681.64,69.54,24.67,450,177,1,,
357999,1721635514, 2024/7/22 8:5:14,66.22,25.16,322.5,1965.56,3784.18,69.54,24.67,450,178,1,,
359999,1721635516, 2024/7/22 8:5:16,66.16,25.17,322.69,1966.13,3784.18,69.54,24.67,450,179,1,,
362000,1721635518, 2024/7/22 8:5:18,66.12,25.19,322.88,1966.31,3779.3,69.54,24.67,450,180,1,,
363999,1721635520, 2024/7/22 8:5:20,66.09,25.2,323.06,1966.5,3779.3,64.28,24.67,443,181,1,,
365999,1721635522, 2024/7/22 8:5:22,66.05,25.23,323.25,1966.88,3784.18,64.28,24.67,443,182,1,,
367998,1721635524, 2024/7/22 8:5:24,66.03,25.25,323.44,1967.44,3784.18,64.28,24.67,443,183,1,,
369998,1721635526, 2024/7/22 8:5:26,66.02,25.28,323.44,1967.63,3784.18,64.28,24.67,443,184,1,,
371999,1721635528, 2024/7/22 8:5:28,66,25.28,323.63,1968,3784.18,64.28,24.67,443,185,1,,
373999,1721635530, 2024/7/22 8:5:30,66.03,25.31,323.81,1968.38,3784.18,64.28,24.67,443,186,1,,
375999,1721635532, 2024/7/22 8:5:32,66.01,25.33,323.81,1968.56,3784.18,64.28,24.67,443,187,1,,
377999,1721635534, 2024/7/22 8:5:34,66.04,25.34,324,1968.94,3779.3,64.28,24.67,443,188,1,,
379999,1721635536, 2024/7/22 8:5:36,66.07,25.33,324.19,1969.13,3779.3,64.28,24.67,443,189,1,,
382000,1721635538, 2024/7/22 8:5:38,66.1,25.39,324.19,1969.69,3784.18,64.28,24.67,443,190,1,,
383998,1721635540, 2024/7/22 8:5:40,66.1,25.38,324.56,1969.88,3784.18,64.28,24.67,443,191,1,,
385999,1721635542, 2024/7/22 8:5:42,66.09,25.38,324.56,1970.25,3779.3,64.28,24.67,443,192,1,,
387999,1721635544, 2024/7/22 8:5:44,66.11,25.43,324.56,1970.63,3784.18,64.28,24.67,443,193,1,,
389999,1721635546, 2024/7/22 8:5:46,66.08,25.43,324.75,1971,3779.3,64.28,24.67,443,194,1,,
391999,1721635548, 2024/7/22 8:5:48,66.05,25.44,324.75,1971.38,3784.18,64.28,24.67,443,195,1,,
393999,1721635550, 2024/7/22 8:5:50,66.01,25.47,324.94,1971.75,3779.3,64.28,24.67,443,196,1,,
395999,1721635552, 2024/7/22 8:5:52,66.01,25.49,324.94,1972.13,3779.3,64.28,24.67,443,197,1,,
397999,1721635554, 2024/7/22 8:5:54,66.06,25.49,325.13,1972.31,3774.41,64.28,24.67,443,198,1,,
400000,1721635556, 2024/7/22 8:5:56,66.12,25.49,325.13,1972.69,3779.3,64.28,24.67,443,199,1,,
401999,1721635558, 2024/7/22 8:5:58,66.2,25.51,325.31,1973.25,3779.3,64.28,24.67,443,200,1,,
403999,1721635560, 2024/7/22 8:6:0,66.09,25.53,325.31,1973.63,3784.18,64.28,24.67,443,201,1,,
406000,1721635562, 2024/7/22 8:6:2,65.8,25.51,325.31,1974,3784.18,64.28,24.67,443,202,1,,
407999,1721635564, 2024/7/22 8:6:4,65.66,25.55,325.31,1974.19,3784.18,64.28,24.67,443,203,1,,
409999,1721635566, 2024/7/22 8:6:6,65.46,25.53,325.31,1974.38,3779.3,64.28,24.67,443,204,1,,
411999,1721635568, 2024/7/22 8:6:8,65.13,25.55,325.31,1974.75,3784.18,64.28,24.67,443,205,1,,
413999,1721635570, 2024/7/22 8:6:10,64.88,25.57,325.31,1975.13,3784.18,64.28,24.67,443,206,1,,
415998,1721635572, 2024/7/22 8:6:12,64.68,25.6,325.31,1975.31,3779.3,64.28,24.67,443,207,1,,
417998,1721635574, 2024/7/22 8:6:14,64.4,25.6,325.31,1975.69,3779.3,64.28,24.67,443,208,1,,
419999,1721635576, 2024/7/22 8:6:16,64.26,25.6,325.31,1976.06,3784.18,64.28,24.67,443,209,1,,
421999,1721635578, 2024/7/22 8:6:18,64.25,25.63,325.5,1976.25,3779.3,64.28,24.67,443,210,1,,
423999,1721635580, 2024/7/22 8:6:20,64.21,25.64,325.31,1976.44,3784.18,64.28,24.67,443,211,1,,
425999,1721635582, 2024/7/22 8:6:22,64.21,25.64,325.5,1976.63,3784.18,64.28,24.67,443,212,1,,
427999,1721635584, 2024/7/22 8:6:24,64.22,25.67,325.5,1977,3784.18,64.28,24.67,443,213,1,,
430000,1721635586, 2024/7/22 8:6:26,64.29,25.66,325.69,1977.38,3784.18,64.28,24.67,443,214,1,,
431998,1721635588, 2024/7/22 8:6:28,64.47,25.69,325.69,1977.94,3779.3,64.28,24.67,443,215,1,,
433998,1721635590, 2024/7/22 8:6:30,64.59,25.69,325.69,1978.13,3784.18,64.28,24.67,443,216,1,,
435999,1721635592, 2024/7/22 8:6:32,64.67,25.71,325.69,1978.5,3784.18,64.28,24.67,443,217,1,,
438000,1721635594, 2024/7/22 8:6:34,64.69,25.75,325.88,1978.69,3779.3,64.28,24.67,443,218,1,,
440000,1721635596, 2024/7/22 8:6:36,64.65,25.73,325.88,1978.88,3784.18,64.28,24.67,443,219,1,,
441999,1721635598, 2024/7/22 8:6:38,64.57,25.76,325.88,1979.06,3774.41,64.28,24.67,443,220,1,,
443999,1721635600, 2024/7/22 8:6:40,64.52,25.78,325.88,1979.25,3779.3,64.28,24.67,443,221,1,,
445999,1721635602, 2024/7/22 8:6:42,64.45,25.77,325.88,1979.81,3779.3,64.28,24.67,443,222,1,,
448000,1721635604, 2024/7/22 8:6:44,64.28,25.81,326.06,1980.19,3784.18,64.28,24.67,443,223,1,,
449999,1721635606, 2024/7/22 8:6:46,64.12,25.8,326.06,1980.19,3784.18,64.28,24.67,443,224,1,,
451998,1721635608, 2024/7/22 8:6:48,63.93,25.82,326.06,1980.38,3779.3,64.28,24.67,443,225,1,,
453999,1721635610, 2024/7/22 8:6:50,63.72,25.83,326.06,1980.94,3779.3,64.28,24.67,443,226,1,,
455999,1721635612, 2024/7/22 8:6:52,63.53,25.82,326.06,1981.31,3784.18,64.28,24.67,443,227,1,,
457999,1721635614, 2024/7/22 8:6:54,63.42,25.84,325.88,1981.5,3779.3,64.28,24.67,443,228,1,,
459999,1721635616, 2024/7/22 8:6:56,63.32,25.85,325.69,1981.69,3784.18,64.28,24.67,443,229,1,,
461999,1721635618, 2024/7/22 8:6:58,63.25,25.85,325.69,1981.88,3784.18,64.28,24.67,443,230,1,,
463998,1721635620, 2024/7/22 8:7:0,63.15,25.88,325.5,1982.25,3784.18,64.28,24.67,443,231,1,,
465998,1721635622, 2024/7/22 8:7:2,63.06,25.88,325.5,1982.44,3784.18,64.28,24.67,443,232,1,,
467999,1721635624, 2024/7/22 8:7:4,63.06,25.9,325.5,1982.63,3779.3,64.28,24.67,443,233,1,,
469998,1721635626, 2024/7/22 8:7:6,63.02,25.9,325.5,1982.63,3784.18,64.28,24.67,443,234,1,,
471998,1721635628, 2024/7/22 8:7:8,63.03,25.92,325.5,1982.81,3784.18,64.28,24.67,443,235,1,,
